id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
1,Alabama 1st,AL-01,Republican,Bradley,Byrne,2016,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,34.1,63.5,37.4,61.8,38.5,60.9,0,96.4,35,64,38,60,31.7,68.2,0,100,68.7,26.5,1.8,0.9,1,1.1,24,308,27.7,303,47083,350,49.6,303478,103364,192634,298837,111735,184786,301556,115975,183753,215893,0,208083,7810,152234,48278,103758,198,0,196374,688770,526450,,,"(1,'Alabama 1st','AL-01','Republican','Bradley','Byrne',2016,1955,'Man','White - Non-Hispanic','Christian - Episcopalian','No',34.1,63.5,37.4,61.8,38.5,60.9,0,96.4,35,64,38,60,31.7,68.2,0,100,68.7,26.5,1.8,0.9,1,1.1,24,308,27.7,303,47083,350,49.6,303478,103364,192634,298837,111735,184786,301556,115975,183753,215893,0,208083,7810,152234,48278,103758,198,0,196374,688770,526450),"
2,Alabama 2nd,AL-02,Republican,Martha,Roby,2010,1976,Woman,White - Non-Hispanic,Christian - Presbyterian,No,33,64.9,36.4,62.9,35,64.5,40.5,48.8,33,67,38,61,32.6,67.3,36.3,63.7,66.1,29.9,1.8,0.7,0.4,1.1,21.8,354,24.2,371,42035,396,50.1,285664,94299,185505,289864,105572,182287,288807,101076,186164,276584,112089,134886,29609,167952,54692,113103,157,103092,180591,671185,514995,,,"(2,'Alabama 2nd','AL-02','Republican','Martha','Roby',2010,1976,'Woman','White - Non-Hispanic','Christian - Presbyterian','No',33,64.9,36.4,62.9,35,64.5,40.5,48.8,33,67,38,61,32.6,67.3,36.3,63.7,66.1,29.9,1.8,0.7,0.4,1.1,21.8,354,24.2,371,42035,396,50.1,285664,94299,185505,289864,105572,182287,288807,101076,186164,276584,112089,134886,29609,167952,54692,113103,157,103092,180591,671185,514995),"
3,Alabama 3rd,AL-03,Republican,Mike,Rogers,2002,1958,Man,White - Non-Hispanic,Christian - Baptist,No,32.3,65.3,36.8,62.3,36.6,62.6,32.9,66.9,41,58,47,52,33.7,66.1,35.9,64.1,71.4,25.1,1.7,0.7,0.3,0.9,22.8,336,23.7,380,46544,357,54.4,288776,93300,188477,280128,103089,174465,281951,103221,176434,287104,94549,192164,391,156620,52816,103558,246,98141,175306,687545,532720,,,"(3,'Alabama 3rd','AL-03','Republican','Mike','Rogers',2002,1958,'Man','White - Non-Hispanic','Christian - Baptist','No',32.3,65.3,36.8,62.3,36.6,62.6,32.9,66.9,41,58,47,52,33.7,66.1,35.9,64.1,71.4,25.1,1.7,0.7,0.3,0.9,22.8,336,23.7,380,46544,357,54.4,288776,93300,188477,280128,103089,174465,281951,103221,176434,287104,94549,192164,391,156620,52816,103558,246,98141,175306,687545,532720),"
4,Alabama 4th,AL-04,Republican,Robert,Aderholt,1996,1965,Man,White - Non-Hispanic,Christian - Congregationalist,No,17.4,80.4,24,74.8,25.5,73.3,0,98.5,28,71,37,61,0,98.6,25.9,74.1,88.8,6.9,1.8,0.5,0.7,1.3,17,412,17.8,426,41110,406,73,290726,50722,233661,274505,65818,205423,278483,71095,204123,239444,0,235925,3519,134752,0,132831,1921,69706,199071,664720,510100,,,"(4,'Alabama 4th','AL-04','Republican','Robert','Aderholt',1996,1965,'Man','White - Non-Hispanic','Christian - Congregationalist','No',17.4,80.4,24,74.8,25.5,73.3,0,98.5,28,71,37,61,0,98.6,25.9,74.1,88.8,6.9,1.8,0.5,0.7,1.3,17,412,17.8,426,41110,406,73,290726,50722,233661,274505,65818,205423,278483,71095,204123,239444,0,235925,3519,134752,0,132831,1921,69706,199071,664720,510100),"
5,Alabama 5th,AL-05,Republican,Mo,Brooks,2010,1954,Man,White - Non-Hispanic,Christian - Nondenominational,No,31.3,64.7,34.9,63.9,36.3,62.6,33.2,66.7,39,60,44,54,0,74.4,35,65,77.3,17.1,2.2,1.1,0.6,1.6,30.3,191,31,250,51690,274,53.3,309937,97159,200571,297263,103598,189860,294444,107005,184225,308326,102234,205647,445,154974,0,115338,39636,101772,189185,686530,530085,,,"(5,'Alabama 5th','AL-05','Republican','Mo','Brooks',2010,1954,'Man','White - Non-Hispanic','Christian - Nondenominational','No',31.3,64.7,34.9,63.9,36.3,62.6,33.2,66.7,39,60,44,54,0,74.4,35,65,77.3,17.1,2.2,1.1,0.6,1.6,30.3,191,31,250,51690,274,53.3,309937,97159,200571,297263,103598,189860,294444,107005,184225,308326,102234,205647,445,154974,0,115338,39636,101772,189185,686530,530085),"
6,Alabama 6th,AL-06,Republican,Gary,Palmer,2014,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,26.1,70.8,24.7,74.3,25,74.1,25.4,74.5,22,78,25,74,23.7,76.2,28.7,71.3,81.8,14.4,1.6,1,0.2,0.9,36.7,112,38.2,156,61413,165,50.5,329849,86116,233493,314343,77517,233566,313838,78559,232644,329306,83709,245313,284,178449,42291,135945,213,88267,219262,673110,511790,,,"(6,'Alabama 6th','AL-06','Republican','Gary','Palmer',2014,1954,'Man','White - Non-Hispanic','Christian - Presbyterian','No',26.1,70.8,24.7,74.3,25,74.1,25.4,74.5,22,78,25,74,23.7,76.2,28.7,71.3,81.8,14.4,1.6,1,0.2,0.9,36.7,112,38.2,156,61413,165,50.5,329849,86116,233493,314343,77517,233566,313838,78559,232644,329306,83709,245313,284,178449,42291,135945,213,88267,219262,673110,511790),"
7,Alabama 7th,AL-07,Democratic,Terri,Sewell,2010,1965,Woman,Black - African-American,Christian - Methodist,No,69.8,28.6,72.4,27.1,71.5,28.1,98.4,0,64,35,66,33,98.4,0,75.9,24.1,35.6,62.1,1.1,0.4,0.1,0.8,19.4,393,28.5,292,34664,431,25.4,293231,204586,83915,315244,228276,85488,315625,225642,88803,233028,229330,0,3698,135899,133687,0,2212,232520,73835,662645,513355,,,"(7,'Alabama 7th','AL-07','Democratic','Terri','Sewell',2010,1965,'Woman','Black - African-American','Christian - Methodist','No',69.8,28.6,72.4,27.1,71.5,28.1,98.4,0,64,35,66,33,98.4,0,75.9,24.1,35.6,62.1,1.1,0.4,0.1,0.8,19.4,393,28.5,292,34664,431,25.4,293231,204586,83915,315244,228276,85488,315625,225642,88803,233028,229330,0,3698,135899,133687,0,2212,232520,73835,662645,513355),"
8,Alaska At-Large,AK-00,Republican,Don,Young,1973,1933,Man,White - Non-Hispanic,Christian - Episcopalian,No,37.6,52.8,41.2,55.3,38.1,59.7,36,50.3,36,61,28,59,41,51,30.9,69.1,67.9,3.1,5.4,5,13,5.6,29.6,209,36.7,174,76440,65,42.9,309407,116454,163387,297625,122640,164676,324467,123594,193841,308198,111019,155088,42091,279725,114596,142566,22563,82927,185296,712745,527810,,,"(8,'Alaska At-Large','AK-00','Republican','Don','Young',1973,1933,'Man','White - Non-Hispanic','Christian - Episcopalian','No',37.6,52.8,41.2,55.3,38.1,59.7,36,50.3,36,61,28,59,41,51,30.9,69.1,67.9,3.1,5.4,5,13,5.6,29.6,209,36.7,174,76440,65,42.9,309407,116454,163387,297625,122640,164676,324467,123594,193841,308198,111019,155088,42091,279725,114596,142566,22563,82927,185296,712745,527810),"
9,Arizona 1st,AZ-01,Democratic,Tom,O'Halleran,2016,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,46.6,47.7,47.9,50.4,47.8,51,50.7,43.4,46,54,46,51,52.6,47.4,51.9,48.1,56.1,2.2,17.1,1.3,21.8,1.6,24.5,304,34.2,199,50537,302,36.8,284973,132874,135928,260056,124550,131115,257294,123079,131208,280710,142219,121745,16746,185114,97391,87723,0,122774,113594,709770,530215,,,"(9,'Arizona 1st','AZ-01','Democratic','Tom','O'Halleran',2016,1946,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',46.6,47.7,47.9,50.4,47.8,51,50.7,43.4,46,54,46,51,52.6,47.4,51.9,48.1,56.1,2.2,17.1,1.3,21.8,1.6,24.5,304,34.2,199,50537,302,36.8,284973,132874,135928,260056,124550,131115,257294,123079,131208,280710,142219,121745,16746,185114,97391,87723,0,122774,113594,709770,530215),"
10,Arizona 2nd,AZ-02,Republican,Martha,McSally,2014,1966,Woman,White - Non-Hispanic,Christian - Protestant,No,49.6,44.7,48.4,49.9,48.9,49.8,43,57,38,61,41,57,49.9,50,50.4,49.6,70,3.6,21.1,2.5,0.9,1.8,34,141,38.8,150,49072,326,42.8,315839,156676,141196,299691,144966,149651,308531,150877,153747,315679,135873,179806,0,219351,109543,109704,104,147338,144884,680785,535575,,,"(10,'Arizona 2nd','AZ-02','Republican','Martha','McSally',2014,1966,'Woman','White - Non-Hispanic','Christian - Protestant','No',49.6,44.7,48.4,49.9,48.9,49.8,43,57,38,61,41,57,49.9,50,50.4,49.6,70,3.6,21.1,2.5,0.9,1.8,34,141,38.8,150,49072,326,42.8,315839,156676,141196,299691,144966,149651,308531,150877,153747,315679,135873,179806,0,219351,109543,109704,104,147338,144884,680785,535575),"
