CD,Gore,Bush '00,Kerry,Bush '04,Obama 2008,McCain 2008,Obama 2012,Romney 2012,"Clinton
2016","Trump
2016"
AK-AL,28,59,36,61,38.1,59.7,41.2,55.3,37.6,52.8
AL-01,38,60,35,64,38.5,60.9,37.4,61.8,34.1,63.5
AL-02,38,61,33,67,35,64.5,36.4,62.9,33,64.9
AL-03,47,52,41,58,36.6,62.6,36.8,62.3,32.3,65.3
AL-04,37,61,28,71,25.5,73.3,24,74.8,17.4,80.4
AL-05,44,54,39,60,36.3,62.6,34.9,63.9,31.3,64.7
AL-06,25,74,22,78,25,74.1,24.7,74.3,26.1,70.8
AL-07,66,33,64,35,71.5,28.1,72.4,27.1,69.8,28.6
AR-01,50,48,47,52,39.2,58,36.3,61,30.2,65
AR-02,48,49,48,51,44.3,53.8,42.9,54.7,41.7,52.4
AR-03,37,60,36,62,33.9,63.7,31.6,65.5,30.5,61.9
AR-04,49,48,48,51,37.4,59.9,35.9,61.8,31.3,64.2
AZ-01,46,51,46,54,47.8,51,47.9,50.4,46.6,47.7
AZ-02,41,57,38,61,48.9,49.8,48.4,49.9,49.6,44.7
AZ-03,43,55,41,58,58.2,40.7,61.4,36.9,62.4,32.5
AZ-04,63,35,62,38,34.4,64.2,31,67.2,27.5,67.7
AZ-05,43,54,45,54,36.3,62.6,34.6,63.8,36.5,57.6
AZ-06,37,61,35,64,41.2,57.7,38.8,59.5,42.4,52.4
AZ-07,58,38,57,43,64.7,34.1,71.7,26.5,71.8,22.6
AZ-08,46,50,46,53,38.4,60.6,36.9,61.7,37,58.1
AZ-09,52,39,60,38,51.3,47.4,51.1,46.6,54.7,38.4
CA-01,33,61,37,62,42,53,40.3,56.6,36.5,56.2
CA-02,41,55,41,58,71,25,69,27,69,23.3
CA-03,36,59,37,61,55,42,54.3,43.1,53,40.4
CA-04,60,35,61,38,43,54,39.5,57.9,39.3,54
CA-05,62,30,70,28,70,26,69.7,27.5,69.2,24.3
CA-06,66,31,67,32,68,29,69.1,28.3,69.2,24.4
CA-07,77,15,85,14,51,46,50.8,46.8,52.3,40.9
CA-08,79,13,86,13,42,55,41.7,55.6,39.6,54.7
CA-09,55,41,59,40,56,41,57.8,40.1,56.6,38
CA-10,45,53,45,54,50,47,50.6,47,48.5,45.5
CA-11,67,29,72,27,69,28,67.6,30,71.5,22.7
CA-12,67,30,71,28,84,13,84.1,12.5,86.2,8.7
CA-13,62,34,68,30,87,10,87.5,9,87.4,6.8
CA-14,60,36,63,36,73,24,74.2,23.6,76.9,18.2
CA-15,64,33,63,36,67,30,68,29.8,69.9,24.2
CA-16,60,33,66,33,57,40,58.6,39.4,58,36.4
CA-17,53,44,49,50,69,28,71.9,25.5,73.9,20.5
CA-18,39,58,38,61,70,27,68.2,28.9,73.4,20.2
CA-19,55,44,51,48,68,29,71.2,26.5,72.9,21.5
CA-20,37,61,34,65,71,26,70.9,26.2,70.4,23.2
CA-21,33,64,31,68,52,46,54.6,43.5,55.2,39.7
CA-22,54,40,58,40,42,55,41.6,56.6,42.6,52.1
CA-23,43,54,43,56,36,61,36.1,61.5,36.1,58.1
CA-24,42,56,40,59,56,41,54.1,43.1,56.7,36.5
CA-25,44,53,44,55,49,48,47.8,49.7,50.3,43.6
CA-26,60,36,59,39,56,41,54,43.7,57.9,36
CA-27,73,24,71,28,61,35,62.6,35,66,28.4
CA-28,58,38,61,37,70,26,70.3,26.5,72.1,22.3
CA-29,68,28,66,33,74,23,77,20.5,77.7,16.8
CA-30,77,19,77,22,66,31,65.3,32.1,69.1,25.7
CA-31,67,31,62,37,56,41,57.2,40.6,57.7,36.6
CA-32,83,14,83,16,62,35,65.2,32.5,66.6,27.7
CA-33,72,26,69,30,64,33,60.6,36.8,67.8,26.5
CA-34,82,17,79,20,77,19,83,14.1,83.6,10.7
CA-35,57,39,59,40,64,32,67.4,30.6,67.7,26.9
CA-36,76,22,74,25,50,47,50.7,47.5,52.2,43.4
CA-37,70,28,65,34,84,13,84.9,12.7,85.7,9.6
CA-38,62,36,59,40,61,35,64.9,33,67,27.4
CA-39,41,56,39,60,47,49,47.1,50.8,51.5,42.9
CA-40,41,56,37,62,77,19,81.5,16.5,82.2,12.8
CA-41,39,59,37,62,59,38,61.5,36.3,61,33.1
CA-42,64,34,58,41,43,54,41.4,56.5,41.4,53.4
CA-43,44,53,40,59,75,22,78,20,78.4,16.7
CA-44,47,51,43,56,81,16,84.7,13.6,83,12.3
CA-45,42,55,42,57,46,51,43,54.8,49.8,44.4
CA-46,56,42,49,50,58,39,61.4,36.2,66.3,27.9
CA-47,40,58,40,58,58,39,60,37.5,62.6,31
CA-48,39,59,36,63,46,51,43,54.7,47.9,46.2
CA-49,43,54,44,55,49,48,45.7,52.4,50.7,43.2
CA-50,57,41,53,46,39,58,37.6,60.4,39.6,54.6
CA-51,40,57,38,61,65,32,69.4,28.9,71.8,22.8
CA-52,58,38,61,38,55,43,52.1,45.7,58.1,35.6
CA-53,61,33,68,31,61,36,61.4,36.4,64.5,29.6
CO-01,52,43,58,41,70.9,27.6,69,28.8,69,23.2
CO-02,39,54,44,55,61.2,37.2,57.9,39.5,56.2,34.9
CO-03,37,57,41,58,48.4,49.9,45.8,51.8,40,52
CO-04,31,63,33,66,41.9,56.4,39.2,58.5,34.3,57.4
CO-05,37,60,39,60,39.7,58.8,38.3,59.1,33.2,57.2
CO-06,50,49,51,48,53.6,44.9,51.6,46.5,50.2,41.3
CO-07,62,33,60,39,57.4,40.7,56.1,41.3,51.4,39.4
CT-01,54,40,54,44,65.8,32.9,63.3,35.6,59.4,36.3
CT-02,60,34,56,42,58.6,40,55.9,42.6,48.7,45.8
CT-03,53,43,52,46,62.6,36.2,62.6,36.3,55.9,40.4
CT-04,52,43,49,49,59.6,39.7,55.1,44,59.6,36.6
CT-05,55,42,53,46,56.4,42.4,53.5,45.3,49.9,45.8
DE-AL,31,69,28,72,61.9,36.9,58.6,40,53.4,41.9
FL-01,47,53,46,54,32,66.8,30.1,68.5,28.2,67.5
FL-02,65,35,65,35,35.2,63.4,34,64.6,30.6,66.2
FL-03,34,66,31,69,44.2,54.6,41.9,56.6,40.2,56.2
FL-04,46,54,41,58,34.8,64.2,32.8,66.1,34.1,62.1
FL-05,42,58,39,61,63.2,35.9,63.6,35.4,61.3,35.9
FL-06,46,54,43,57,50.1,48.7,46.6,52.2,39.9,56.9
FL-07,46,54,45,55,51.1,48,49.4,49.4,51.4,44.1
FL-08,46,54,43,57,43.8,54.9,42.1,56.6,37.7,58.4
FL-09,51,49,49,51,54.6,44.5,55.6,43.4,54.8,41.9
FL-10,61,39,58,41,60.9,38.5,60.7,38.4,61.8,34.9
FL-11,45,55,42,58,42.6,56.1,39.8,59.2,32.5,64.8
FL-12,46,55,44,56,47.4,51.2,45.5,53,38.8,57.4
FL-13,39,61,38,62,55.5,43,54.6,43.9,49.6,46.4
FL-14,46,54,43,57,58.1,40.9,57.6,41.2,57.2,39
FL-15,47,53,46,54,46.7,52.1,46.6,52.2,43.1,53.1
FL-16,85,15,83,17,47.7,51.2,45.1,53.7,43,53.7
FL-17,43,57,46,54,43.9,54.7,41.3,57.6,35,62.2
FL-18,73,27,66,34,51.2,47.9,47.7,51.4,44.1,53.3
FL-19,69,31,64,36,42.3,56.8,38.7,60.5,37.5,59.6
FL-20,42,58,43,57,80.9,18.6,82.5,17.1,80.2,18.1
FL-21,52,48,52,48,63.4,35.9,60.4,38.9,58.6,39.1
FL-22,80,20,76,24,58.3,41,56.3,43,56.8,41
FL-23,47,53,45,55,62,37.3,61.4,38,61.9,35.8
FL-24,45,55,44,56,84,15.6,85.7,13.9,83,15.3
FL-25,38,62,34,66,40.6,58.8,44.9,54.5,47.9,49.6
FL-26,52,48,50,50,51.5,47.9,55.4,43.9,56.7,40.6
FL-27,33,67,29,70,50.1,49.3,53,46.3,58.6,38.9
GA-01,70,30,71,28,44.4,55,43,55.9,40.9,56.4
GA-02,73,27,74,26,57.9,41.6,58.6,40.8,55,43.3
GA-03,32,68,29,70,34,65.3,33,65.9,32.8,64.3
GA-04,31,69,30,70,73.2,26.3,73.6,25.6,75.3,22.2
GA-05,42,58,39,61,84.4,15,83.1,15.8,85,11.9
GA-06,29,71,23,77,40.1,59,37.5,60.8,46.8,48.3
GA-07,37,63,35,65,39.1,60.1,38.3,60.2,44.8,51.1
GA-08,35,66,29,71,37.8,61.6,37.5,61.6,34.4,63.3
GA-09,52,48,49,50,24.3,74.7,20.5,78.1,19.3,77.8
GA-10,57,43,60,40,38.8,60.4,36.3,62.5,35.8,61.3
GA-11,55,39,53,47,34.7,64.3,31.5,66.9,35.3,60.3
GA-12,56,36,56,44,43.9,55.6,43.6,55.4,40.7,56.9
GA-13,52,45,53,46,67.1,32.3,69.2,30,71,26.6
GA-14,53,43,55,44,27.8,71,25.3,73.2,22.1,75
HI-01,49,48,50,50,70.3,28.3,69.7,29,63.1,30.5
HI-02,48,49,48,51,73.4,24.9,71.4,26.7,61.4,29.6
IA-01,40,57,39,60,58.5,40.4,56.2,42.5,45.2,48.7
IA-02,28,68,30,69,57.1,41.6,55.8,42.7,45,49.1
IA-03,28,67,30,69,52.4,46.3,51.4,47.2,45,48.5
IA-04,84,16,83,17,48.5,50.2,45.3,53.4,33.5,60.9
ID-01,83,17,84,16,35.1,62.5,32.2,64.9,25.4,63.7
ID-02,58,40,59,41,37.1,60.5,33.1,64.1,29.8,54.5
IL-01,79,20,79,21,80.8,18.5,79,20.2,75.4,21.4
IL-02,66,34,67,33,81.1,18.2,80.7,18.5,78,19.1
IL-03,44,53,47,53,58.3,40.4,55.9,42.6,55.2,39.9
IL-04,83,16,83,17,80.5,18.2,80.9,17.1,82.1,13.2
IL-05,42,56,44,56,69.9,28.8,66,31.8,70.5,23.9
IL-06,67,31,68,32,51.3,47.3,45.1,53.3,50.2,43.2
IL-07,51,47,53,47,89.4,9.9,87.2,11.8,87.4,9.2
IL-08,48,50,46,53,61.5,37.1,57.4,40.9,58.1,36.4
IL-09,54,43,52,48,68.6,30.3,65,33.3,70.1,24.9
IL-10,42,55,45,55,63,35.9,57.5,41.1,62,32.6
IL-11,43,54,44,55,61.3,37.5,57.8,40.6,58.9,35.4
IL-12,43,54,41,59,54.7,43.6,49.7,48.2,40.2,55
IL-13,43,54,44,55,54.6,43.6,48.6,48.9,44.2,49.7
IL-14,54,44,51,48,50.7,48,44.2,54.2,44.8,48.7
IL-15,44,54,42,58,42.8,55.4,34.1,63.9,24.5,70.7
IL-16,41,56,39,61,50,48.2,45.2,52.9,38.3,55.5
IL-17,56,42,55,44,60,38.5,57.6,40.6,46.7,47.4
IL-18,45,53,43,56,44.1,54.4,37.4,60.7,33.3,60.6
IN-01,33,66,31,68,63.3,35.8,61.2,37.4,54.1,41.5
IN-02,32,66,30,69,49.6,49.3,42.1,56.1,36.1,59.3
IN-03,30,69,28,71,43,56,35.7,62.5,30.1,65.1
IN-04,40,59,35,64,44.6,54.2,36.9,60.9,30.2,64.3
IN-05,56,43,58,42,46.6,52.6,40.7,57.5,41.3,53.1
IN-06,42,57,38,62,43.6,55,37.3,60.4,27.4,67.7
IN-07,42,56,40,59,66.3,32.8,62.9,35.4,59,36.2
IN-08,29,67,26,72,48.1,50.6,39.6,58.4,30.9,64.6
IN-09,41,54,39,59,46.2,52.7,40.7,57.2,34.2,61.1
KS-01,42,53,44,55,31,67.2,27.6,70.1,24.3,69.3
KS-02,37,59,34,64,45.3,52.8,42,55.6,37.4,55.8
KS-03,40,58,36,63,48.8,49.9,44.3,53.8,47.2,46
KS-04,37,62,34,65,39.5,58.6,36.1,61.6,33,60.2
KY-01,50,48,51,49,36.9,61.6,32.1,66.4,23.9,72.4
KY-02,37,61,36,63,37.2,61.5,35.1,63.3,27.6,67.5
KY-03,42,57,39,61,56.2,42.8,55.7,42.8,54.9,39.9
KY-04,42,56,41,58,37,61.5,34.8,63.4,29.3,65.2
KY-05,31,67,28,71,31.6,66.6,23.2,75,17.5,79.6
KY-06,76,22,75,24,44.8,53.7,42.2,55.8,39.4,54.7
LA-01,45,52,41,58,25.3,72.7,26.9,70.9,26.7,68.7
LA-02,43,55,40,59,73.4,25.4,75.8,22.8,74.6,22.2
LA-03,40,57,37,62,34.1,64.2,32.3,66.1,29.2,67.3
LA-04,43,55,40,59,39.9,58.9,39.7,59,36.6,60.6
LA-05,42,55,39,60,36.7,62,37.7,61,34.1,63.5
LA-06,56,33,63,35,30.9,67.5,32,66.1,31,64.8
MA-01,58,35,59,40,64.1,33.7,64,34.3,57.2,36.5
MA-02,59,35,59,40,60.4,37.5,58.7,39.2,56.2,36.8
MA-03,65,29,65,33,58.8,39.4,56.9,41.4,58.2,35.4
MA-04,57,36,57,41,60.4,37.9,57.1,41.3,59.2,35
MA-05,57,36,58,41,66.2,32.1,65.2,33.1,69.3,25.7
MA-06,64,29,66,33,56.9,41.4,54.7,43.9,56.1,38.2
MA-07,73,15,79,19,81.9,16.7,82.5,15.6,84.1,11.9
MA-08,60,33,63,36,57.9,40.5,57.8,40.8,60.4,34.4
MA-09,54,39,56,43,57.8,40.6,55.5,43.1,52.5,41.8
MD-01,40,57,36,62,38.4,59.6,37.8,60.3,33.5,61.9
MD-02,57,41,54,45,60.6,37.5,62.9,35.1,60.2,35.6
MD-03,55,41,54,45,60.1,38,60.6,37.2,62.9,32.1
MD-04,77,21,78,21,77.3,21.8,78.3,20.7,77.7,19.2
MD-05,57,41,57,42,65.1,33.6,66.2,32.3,63.6,32.6
MD-06,36,61,34,65,56.3,42,55.4,42.6,55.8,39.7
MD-07,73,25,73,26,76.2,22.4,76,22.5,75.5,20.5
MD-08,66,31,69,30,62.8,35.6,62,36.1,64.6,30.9
ME-01,50,43,55,43,60.7,37.5,59.6,38.2,54.1,39.3
ME-02,48,45,52,46,54.6,43.4,52.9,44.4,41.1,51.4
MI-01,45,52,46,53,49.7,48.4,45.3,53.6,36.6,57.9
MI-02,38,59,39,60,48,50.3,43.1,56,38.2,55.8
MI-03,38,60,40,59,49.7,48.6,45.8,53.1,42.2,51.6
MI-04,44,54,44,55,49.6,48.6,45.5,53.5,34.7,59.5
MI-05,61,37,59,41,63,35.3,60.7,38.3,49.7,45.5
MI-06,45,52,46,53,53.1,45.2,48.8,50.2,42.9,51.3
MI-07,46,51,45,54,50.8,47.4,47.9,51,38.7,55.7
MI-08,47,51,45,54,52,46.4,48,51.1,43.9,50.6
MI-09,47,51,49,51,58.1,40.1,57.2,41.9,51.5,43.7
MI-10,45,53,43,57,48,50,43.7,55.3,31.6,63.8
MI-11,47,51,47,53,50.2,48.3,46.9,52.3,45.3,49.7
MI-12,61,37,61,39,66.9,31.4,66.2,32.8,60.8,34.5
MI-13,80,19,81,19,84.8,14.2,85.2,14.3,78.8,18.1
MI-14,81,18,83,17,82.2,17.1,81,18.6,79.2,18.3
MN-01,60,38,62,38,50.8,46.7,49.6,48.2,38.4,53.3
MN-02,45,49,47,51,50.5,47.6,49.1,49,45.3,46.5
MN-03,44,51,45,54,51,47.4,49.6,48.8,50.8,41.4
MN-04,46,50,48,51,62.6,35.5,62.5,35.5,61.5,30.6
MN-05,57,37,62,37,73.4,24.5,73.5,24,73.7,18.5
MN-06,63,29,71,28,43.2,54.7,41.5,56.5,33.2,58.9
MN-07,42,52,42,57,47.1,50.4,44.1,53.9,31,61.8
MN-08,40,54,43,55,53.1,44.5,51.7,46.2,38.6,54.2
MO-01,49,44,53,46,80.3,18.6,79.9,18.9,77,18.8
MO-02,72,26,75,25,46.4,52.6,41.4,57.1,42.3,52.6
MO-03,39,59,40,60,42.8,55.8,36.1,62,28.1,67.1
MO-04,54,43,57,43,41.9,56.5,36.4,61.2,29.3,65.3
MO-05,40,58,35,64,62,36.8,58.9,39.4,54.1,40.6
MO-06,60,37,59,40,43.1,55.3,37.9,60,31.7,63.1
MO-07,44,53,42,57,35.3,63.1,30.3,67.6,24.7,70.4
MO-08,36,62,32,67,38.3,60,32,65.9,21,75.4
MS-01,39,59,36,64,36.6,62.4,37,61.9,32.4,65.4
MS-02,42,55,41,59,64.2,35.2,66.4,33,63.6,35.1
MS-03,40,59,37,62,38.4,60.8,39.1,60,36.8,61.3
MS-04,57,41,59,40,31.1,67.9,31.2,67.6,28.2,69.4
MT-AL,35,64,34,65,47.3,49.5,41.7,55.4,35.9,56.5
NC-01,33,65,31,68,67.3,32.2,68.6,31.4,67.5,30.5
NC-02,33,58,39,59,44.8,54.3,43.5,56.5,43.6,53.2
NC-03,57,42,57,42,42.4,56.8,41,59,36.9,60.5
NC-04,46,53,46,54,65.8,33.2,65.4,34.6,68.2,28.2
NC-05,35,64,32,68,44.6,54.2,42.8,57.2,39.8,57.3
NC-06,53,46,55,44,45.2,53.8,43.6,56.4,41.4,56.1
NC-07,33,66,33,66,44.6,54.6,43.6,56.4,39.9,57.6
NC-08,32,67,30,69,45.3,53.9,44.8,55.2,41.1,56.1
NC-09,48,52,44,56,45.2,54,44.2,55.8,42.8,54.4
NC-10,46,54,45,54,41.6,57.4,40.9,59.1,36.5,61
NC-11,36,63,36,63,41.5,57.1,39.6,60.4,33.9,63.3
NC-12,34,65,33,67,68,31.3,68.4,31.6,68.4,28.4
NC-13,40,58,43,57,47.9,51.2,46.6,53.4,44,53.4
ND-AL,57,42,63,37,44.6,53.3,38.9,58.7,27.7,64.1
NE-01,49,50,52,47,44.2,54.3,40.8,57.4,36.2,57.5
NE-02,33,61,36,63,50,48.8,45.7,52.9,46,48.2
NE-03,36,59,36,63,31.1,67.1,27.8,70.2,20,74.9
NH-01,39,57,38,60,52.8,46.4,50.2,48.6,46.6,48.2
NH-02,25,71,24,75,56,43.1,54.2,44.5,48.7,46.3
NJ-01,46,49,48,51,64.7,34.2,65.1,33.8,60.6,36.1
NJ-02,48,47,52,47,53.2,45.5,53.5,45.4,46,50.6
NJ-03,63,34,61,39,51.1,47.7,51.8,47.2,45.2,51.4
NJ-04,54,43,49,50,45.3,53.6,44.7,54.2,41,55.8
NJ-05,54,43,49,51,48.5,50.5,47.9,51,47.7,48.8
NJ-06,50,46,44,56,58.4,40.5,61.4,37.4,56.2,40.6
NJ-07,45,52,43,57,47.2,51.6,46.3,52.5,48.6,47.5
NJ-08,61,35,57,43,73.2,26,78.3,20.7,75.7,21.5
NJ-09,48,49,47,53,64,35.2,68.3,30.8,64.3,33.1
NJ-10,60,37,59,41,84.9,14.6,87.9,11.5,85.2,12.8
NJ-11,63,34,59,41,47,52.1,46.6,52.4,47.9,48.8
NJ-12,83,16,82,18,65.7,33.3,66.5,32.4,65,31.8
NM-01,43,54,42,58,59.7,39,55.3,39.6,51.6,35.1
NM-02,56,40,54,46,48.4,50.2,44.9,51.7,39.9,50.1
NM-03,72,25,69,31,61.2,37.5,57.5,38.7,51.8,36.7
NV-01,48,47,51,48,64.5,33,65.6,32.4,61.6,32.6
NV-02,43,54,41,58,49.4,48.2,44.8,52.9,39.7,52
NV-03,52,43,54,45,53.5,44.6,49.5,48.7,46.5,47.5
NV-04,56,41,57,42,56.4,41.4,54.4,43.7,49.5,44.6
NY-01,37,57,41,57,51,48,49.6,49.1,42.2,54.5
NY-02,49,48,49,50,51,48,51.6,47.2,43.9,53
NY-03,52,44,49,49,54,46,50.8,48.2,51.6,45.5
NY-04,57,39,53,45,55,44,56.3,42.8,53.4,43.8
NY-05,52,44,47,52,86,14,90.6,9.1,85.7,12.7
NY-06,59,38,55,44,63,36,67.8,31,65.1,32.1
NY-07,67,30,63,36,84,15,88.4,10.3,86.9,10.4
