id,district,code,party,first_name,last_name,first_elected,election_type,birth_year,gender,race_ethnicity,religion,lgbtq,seat_status2016,votepercent_president2016_democrat,votepercent_president2016_republican,2012votepercent_president_democrat,2012votepercent_president_republican,2008votepercent_president_democrat,2008votepercent_president_republican,rvotepercent_house_democrat,rvotepercent_house_republican,2014votepercent_house_democrat,2014votepercent_house_republican,2012two_party_dem,2012two_party_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,census_population2010_adult_white,census_population2010_adult_black,census_population2010_adult_latino,census_population2010_adult_asianpacificislander,census_population2010_adult_native,census_population2010_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,sort,tvotetotal_president,qvote_president_democrat,qvote_president_republican,2012votetotal_president,2012vote_pesident_democrat,2012vote_president_republican,2008votetotal_president,2008vote_president_democrat,2008vote_president_republican,2016votetotal_house,2016vote_house_democrat,2016vote_house_republican,2016vote_house_other,2014vote_total_house,2014vote_house_democrat,2014vote_house_republican,2014vote_house_other,2012house2_party_dem,2012house2_party_rep,acs_population_total,acs_population_white,acs_population_black,acs_population_latino,acs_population_asianpacificislander,acs_population_nativeamerican,acs_population_other,acs_votingagepopulation_total,acs_votingagepopulation_white,acs_votingagepopulation_black,acs_votingagepopulation_latino,acs_votingagepopulation_asianpacificislander,acs_votingagepopulation_nativeamerican,acs_votingagepopulation_other,census_totalpopulation,census_totalpopulation_white,census_totalpopulation_black,census_totalpopulation_latino,census_totalpopulation_asianpacificislander,census_totalpopulation_nativeamerican,census_totalpopulation_other,census_votingagepopulation_total,census_votingagepopulation_white,census_votingagepopulation_black,census_votingagepopulation_latino,census_votingagepopulation_asianpacificislander,census_votingagepopulation_nativeamerican,census_votingagepopulation_other
1,Alabama 1st,AL-01,Republican,Bradley,Byrne,2016,Normal,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,34.1,63.5,37.4,61.8,38.5,60.9,0,96.4,31.7,68.2,0,100,68.7,26.5,1.8,0.9,1.0,1.1,68.5,25.6,2.5,1.3,1.1,1.0 ,24.0 ,308 ,27.7 ,303 ,47083,350,49.6,1,303478,103364,192634,298837,111735,184786,301556,115975,183753,215893,0,208083,7810,152234,48278,103758,198,0,196374,688770,455630,193165,16105,7100,6600,10160,526450,361635,139660,9590,4825,5180,5555,682423,449539,187508,19086,9296,7644,9350,515948,353347,132261,12904,6918,5524,4994
2,Alabama 2nd,AL-02,Republican,Martha,Roby,2010,Normal,1976,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,33.0,64.9,36.4,62.9,35.0,64.5,40.5,48.8,32.6,67.3,36.3,63.7,66.1,29.9,1.8,0.7,0.4,1.1,66.5,27.8,3.0,1.2,0.5,1.0 ,21.8 ,354 ,24.2 ,371 ,42035,396,50.1,2,285664,94299,185505,289864,105572,182287,288807,101076,186164,276584,112089,134886,29609,167952,54692,113103,157,103092,180591,671185,425750,208900,18225,4850,2420,11045,514995,340575,153890,9380,3445,1885,5825,686078,438782,201723,24648,7900,3072,9953,522837,347855,145568,15912,6059,2371,5072
3,Alabama 3rd,AL-03,Republican,Mike,Rogers,2002,Normal,1958,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,32.3,65.3,36.8,62.3,36.6,62.6,32.9,66.9,33.7,66.1,35.9,64.1,71.4,25.1,1.7,0.7,0.3,0.9,71.5,23.9,2.3,1.1,0.3,0.9 ,22.8 ,336 ,23.7 ,380 ,46544,357,54.4,3,288776,93300,188477,280128,103089,174465,281951,103221,176434,287104,94549,192164,391,156620,52816,103558,246,98141,175306,687545,477470,176380,16020,5630,1785,10260,532720,380170,133730,8915,3720,1500,4680,680857,473473,170355,17932,7923,2117,9057,523481,374072,125248,11783,5992,1705,4681
4,Alabama 4th,AL-04,Republican,Robert,Aderholt,1996,Normal,1965,Man,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,17.4,80.4,24.0,74.8,25.5,73.3,0,98.5,0,98.6,25.9,74.1,88.8,6.9,1.8,0.5,0.7,1.3,86.9,6.5,4.3,0.5,0.7,1.0 ,17.0 ,412 ,17.8 ,426 ,41110,406,73.0,4,290726,50722,233661,274505,65818,205423,278483,71095,204123,239444,0,235925,3519,134752,0,132831,1921,69706,199071,664720,573010,46610,26335,3350,4750,10665,510100,452980,35350,9260,2330,3775,6395,681487,578453,46163,38837,3200,5218,9616,521081,452704,34104,22579,2369,3870,5455
5,Alabama 5th,AL-05,Republican,Mo,Brooks,2010,Normal,1954,Man,White - Non-Hispanic,Christian - Nondenominational,No,Re-elected,31.3,64.7,34.9,63.9,36.3,62.6,33.2,66.7,0,74.4,35.0,65.0,77.3,17.1,2.2,1.1,0.6,1.6,76.1,16.3,3.9,1.6,0.7,1.4 ,30.3 ,191 ,31.0 ,250 ,51690,274,53.3,5,309937,97159,200571,297263,103598,189860,294444,107005,184225,308326,102234,205647,445,154974,0,115338,39636,101772,189185,686530,514600,119585,24065,8025,3915,16340,530085,409960,90580,11585,6095,3230,8635,683019,506307,114887,32572,11051,4753,13449,523079,398175,85119,20508,8381,3628,7268
6,Alabama 6th,AL-06,Republican,Gary,Palmer,2014,Normal,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,26.1,70.8,24.7,74.3,25.0,74.1,25.4,74.5,23.7,76.2,28.7,71.3,81.8,14.4,1.6,1.0,0.2,0.9,80.8,12.5,4.1,1.6,0.3,0.8 ,36.7 ,112 ,38.2 ,156 ,61413,165,50.5,6,329849,86116,233493,314343,77517,233566,313838,78559,232644,329306,83709,245313,284,178449,42291,135945,213,88267,219262,673110,533360,100655,20235,8070,1510,9285,511790,418605,73710,8140,5340,1225,4760,682422,537110,91612,33409,10985,1830,7476,517305,417809,64797,21238,8052,1410,3999
7,Alabama 7th,AL-07,Democratic,Terri,Sewell,2010,Normal,1965,Woman,Black - African-American,Christian - Methodist,No,Re-elected,69.8,28.6,72.4,27.1,71.5,28.1,98.4,0,98.4,0,75.9,24.1,35.6,62.1,1.1,0.4,0.1,0.8,35.7,60.2,2.6,0.7,0.2,0.6 ,19.4 ,393 ,28.5 ,292 ,34664,431,25.4,7,293231,204586,83915,315244,228276,85488,315625,225642,88803,233028,229330,0,3698,135899,133687,0,2212,232520,73835,662645,215315,426305,10880,2795,930,6425,513355,182625,318590,5505,2040,705,3885,683450,220738,432189,19118,4558,1273,5574,523546,186799,315181,13412,3872,1042,3240
8,Alaska At-Large,AK-AL,Republican,Don,Young,1973,Special,1933,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,37.6,52.8,41.2,55.3,38.1,59.7,36.0,50.3,41.0,51.0,30.9,69.1,67.9,3.1,5.4,5.0,13.0,5.6,68.4,3.1,4.7,6.2,13.2,4.5 ,29.6 ,209 ,36.7 ,174 ,76440,65,42.9,8,309407,116454,163387,297625,122640,164676,324467,123594,193841,308198,111019,155088,42091,279725,114596,142566,22563,82927,185296,712745,452800,21855,45260,38585,100690,53555,527810,358490,16520,28280,26625,68570,29325,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471
9,Arizona 1st,AZ-01,Democratic,Tom,O'Halleran,2016,Normal,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate and lost,46.6,47.7,47.9,50.4,47.8,51.0,50.7,43.4,52.6,47.4,51.9,48.1,56.1,2.2,17.1,1.3,21.8,1.6,56.2,2.1,18.1,1.8,20.5,1.3 ,24.5 ,304 ,34.2 ,199 ,50537,302,36.8,9,284973,132874,135928,260056,124550,131115,257294,123079,131208,280710,142219,121745,16746,185114,97391,87723,0,122774,113594,709770,360450,15500,142430,8970,167985,14440,530215,297295,11750,90410,6880,115445,8445,710224,361485,14687,147846,11190,162087,12929,522309,293758,11113,94295,9180,107182,6781
10,Arizona 2nd,AZ-02,Republican,Martha,McSally,2014,Normal,1966,Woman,White - Non-Hispanic,Christian - Protestant,No,Re-elected,49.6,44.7,48.4,49.9,48.9,49.8,43.0,57.0,49.9,50.0,50.4,49.6,70.0,3.6,21.1,2.5,0.9,1.8,69.2,3.5,21.7,3.0,0.9,1.7 ,34.0 ,141 ,38.8 ,150 ,49072,326,42.8,10,315839,156676,141196,299691,144966,149651,308531,150877,153747,315679,135873,179806,0,219351,109543,109704,104,147338,144884,680785,440915,25465,173960,16135,6475,17840,535575,374960,19495,113120,13300,4860,9835,710224,457249,25861,183537,20664,6472,16441,558252,386563,19389,121379,16686,4899,9336
